,NOME,VALOR,DETALHES,ENDEREÇO
190,"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.000,00/mês - Capim Macio - Natal",R$ 1.000,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 449 ', ' 1 vaga']",Capim Macio
191,"Ahead de ponta negra com 2 suites ótima localização, venha morar 150 metros da praia",R$ 2.000,"['2 quartos ', ' 58m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
192,"Apartamento mobiliado, com 284m², 4 suítes, no Tirol",R$ 6.000,"['4 quartos ', ' 284m² ', ' Condomínio: R$ 2.000 ', ' 4 vagas']",Tirol
193,Lindo apto locação 4/4 ( J ),R$ 2.800,"['4 quartos ', ' 109m²']",Capim Macio
194,"Apartamento com 3 dormitórios para alugar, 101 m² por R$ 3.500,00/mês - Ponta Negra - Nata",R$ 3.500,"['3 quartos ', ' 101m² ', ' 2 vagas']",Ponta Negra
195,"Apartamento com 3 dormitórios para alugar, 88 m² por R$ 2.000,00/mês - Barro Vermelho - Na",R$ 2.000,"['3 quartos ', ' 88m² ', ' 2 vagas']",Barro Vermelho
196,"Apartamento para alugar com 3 dormitórios em Capim macio, Natal cod:RMX_7653_369510",R$ 1.900,"['3 quartos ', ' 68m² ', ' 2 vagas']",Capim Macio
197,Apartamento,R$ 1.800,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 445 ', ' 1 vaga']",Ponta Negra
198,"Apartamento com 2 dormitórios para alugar, 58 m² - Neópolis - Natal/RN - AP0523",R$ 600,"['2 quartos ', ' 58m² ', ' Condomínio: R$ 100 ', ' 1 vaga']",Neópolis
199,"Apartamento com 3 dormitórios para alugar, 63 m² por R$ 1.600,00/mês - Capim Macio - Natal",R$ 1.600,"['3 quartos ', ' 63m² ', ' 1 vaga']",Capim Macio
200,"Apartamento em Candelária (03 suítes, móveis planejados no Green Tower)",R$ 2.300,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Lagoa Nova
201,"Apartamento com 3 dormitórios para alugar, 109 m² por R$ 5.000/mês - Ponta Negra - Natal/R",R$ 5.000,"['3 quartos ', ' 109m² ', ' 2 vagas']",Ponta Negra
202,"Apartamento MOBILIADO com 2 dormitórios para alugar, 54 m² por R$ 1.450/mês - Ponta Negra ",R$ 1.450,"['2 quartos ', ' 54m²']",Ponta Negra
203,"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:RMX_7653_369516",R$ 1.500,"['2 quartos ', ' 57m² ', ' 1 vaga']",Capim Macio
204,Cond. Serrambi VII; 2 quartos; 55m²; em Neópolis,R$ 892,"['2 quartos ', ' 55m² ', ' 1 vaga']",Neópolis
205,"Apartamento com 3 dormitórios para alugar, 78 m² por R$ 1.500/mês - Lagoa Nova - Natal/RN",R$ 1.500,"['3 quartos ', ' 78m² ', ' 1 vaga']",Lagoa Nova
206,"Flat com 2 dormitórios para alugar, 60 m² por R$ 2.000/mês - Petrópolis - Natal/RN",R$ 2.000,"['2 quartos ', ' 60m²']",Petrópolis
207,Vende se apartamento de 01 quarto,R$ 110.000,"['1 quarto ', ' 42m² ', ' Condomínio: R$ 160 ', ' 1 vaga']",Dix-Sept Rosado
208,Cobertura no Quartier para locação,R$ 6.500,"['4 quartos ', ' 2 vagas']",Lagoa Nova
209,Apartamento mobiliado pra Locação no Quality suítes ,R$ 2.500,"['2 quartos ', ' 60m² ', ' 1 vaga']",Ponta Negra
210,Alugo Apartamento no Planalto,R$ 750,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Planalto
211,Ed. Samanna alugo!,R$ 1.600,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 450 ', ' 1 vaga']",Lagoa Nova
212,Alugo ou vendo Apartamento Capim Macio,R$ 1.000,"['2 quartos ', ' 65m² ', ' Condomínio: R$ 380 ', ' 1 vaga']",Capim Macio
213,Lindo Apto 2 suítes- Mobiliado com máquina de lavar- Frente Mar,R$ 2.200,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
214,"Apartamento em Capim Macio com 2 quartos, sendo 1 suíte com 2 garagens",R$ 1.700,"['2 quartos ', ' 65m² ', ' 2 vagas']",Capim Macio
215,Apartamento 2 quartos Estrela de Natal,R$ 1.800,"['2 quartos ', ' 56m² ', ' 1 vaga']",Pitimbu
216,"Em cidade Satélite, próximo a BR 101",R$ 1.800,"['2 quartos ', ' 57m² ', ' 1 vaga']",Pitimbu
217,Apto - Mobiliado - 1° andar(escada) - Nascente - Resid. Camurupim - Ponta Negra,R$ 1.500,"['2 quartos ', ' 65m² ', ' 1 vaga']",Ponta Negra
218,Apto - Mobiliado - 24° andar - 2 quartos(suite) no Duna Barcane - Vista Mar!,R$ 2.700,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
219,Apartamento para locação em lagoa nova - ahead lagoa nova - reformado,R$ 1.800,"['1 quarto ', ' 56m² ', ' 1 vaga']",Lagoa Nova
220,Alugo,R$ 0,"['2 quartos ', ' Condomínio: R$ 0 ', ' 1 vaga']",Cidade da Esperança
221,"Quartier - 3/4 sendo 1 suíte, armários na Cozinha , Lagoa Nova",R$ 2.350,"['3 quartos ', ' 81m² ', ' 1 vaga']",Lagoa Nova
222,"Kitnet com 1 dormitório para alugar, 12 m² por R$ 1.000,00/mês - Mirassol - Natal/RN",R$ 1.000,"['1 quarto ', ' 12m² ', ' 1 vaga']",Capim Macio
223,"Apartamento com 3 dormitórios para alugar, 93 m² - Lagoa Nova - Natal/RN - AP0395",R$ 1.000,"['3 quartos ', ' 93m² ', ' Condomínio: R$ 425 ', ' 1 vaga']",Lagoa Nova
224,"Apartamento com 4 dormitórios para alugar, 123 m² por R$ 4.000,00/mês - Capim Macio - Nata",R$ 4.000,"['4 quartos ', ' 123m² ', ' 2 vagas']",Capim Macio
225,"Apartamento com 2 dormitórios para alugar, 181 m² - Tirol - Natal/RN AP0446",R$ 800,"['2 quartos ', ' 181m² ', ' 1 vaga']",Tirol
226,More na melhor localização,R$ 700,"['1 quarto ', ' 31m² ', ' 5 ou mais vaga']",Neópolis
227,LMAP1683 Apartamento Residencial Ipojuca,R$ 1.300,"['2 quartos ', ' 580m² ', ' 1 vaga']",Lagoa Nova
228,LMAP1270 Apartamento Residencial Imperial Ponta Negra,R$ 2.200,"['3 quartos ', ' 1020m² ', ' Condomínio: R$ 580 ', ' 2 vagas']",Ponta Negra
229,Procuro alguém pra dividir um apartamento ,,['3 quartos'],Praia do Meio
230,LMAP0648 Apartamento Residencial Kitty,R$ 1.100,"['2 quartos ', ' 5300m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Lagoa Nova
231,"Aluga-se kitnet ,próximo do shoping midwey e unp da salgado Filho).A partir de700,00.",R$ 700,"['1 quarto ', ' 0m² ', ' Condomínio: R$ 0']",Lagoa Nova
232,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,R$ 1.512,"['3 quartos ', ' 70m²']",Capim Macio
233,Alugo cobertura no in mare,R$ 500,"['2 quartos ', ' 115m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Lagoa Nova
234,Alugo Kitnet,R$ 400,['1 quarto'],Cidade da Esperança
235,Apartamento para aluguel com 81 metros quadrados com 3 quartos em Capim Macio - Natal - RN,R$ 3.000,"['3 quartos ', ' 81m² ', ' 1 vaga']",Capim Macio
236,Apartamento 2/4 em ótima localização no Tirol,R$ 1.550,"['2 quartos ', ' 55m² ', ' 1 vaga']",Tirol
237,Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,R$ 1.702,"['1 quarto ', ' 36m²']",Ponta Negra
238,KITNET PARA ALUGAR R$400,R$ 400,"['1 quarto ', ' 20m²']",Neópolis
239,"Lindo apartamento planejado no Edifício Mirante dos Eucaliptos, no alto da Candelaria.",R$ 1.390,"['2 quartos ', ' 51m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Candelária
240,Locação: Residencial Olimpo. *,R$ 1.600,"['3 quartos ', ' 1 vaga']",Capim Macio
241,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821180",R$ 1.005,"['2 quartos ', ' 61m² ', ' Condomínio: R$ 440 ', ' 1 vaga']",Dix-Sept Rosado
242,Locação: Raresidencial Olimpo,R$ 1.600,"['3 quartos ', ' 1 vaga']",Capim Macio
243,Apartamento mobiliado de 1 quarto,R$ 2.500,"['1 quarto ', ' 17m² ', ' Condomínio: R$ 0']",Ponta Negra
244,Kit Net,R$ 450,"['1 quarto ', ' Condomínio: R$ 450']",Barro Vermelho
245,Kit Net - Vila de Ponta Negra,R$ 500,"['1 quarto ', ' 1 vaga']",Ponta Negra
246,Flat com garagem no Tirol,R$ 950,"['1 quarto ', ' 40m² ', ' 1 vaga']",Tirol
247,Apartamento para alugar,R$ 700,"['2 quartos ', ' 100m² ', ' Condomínio: R$ 0']",Dix-Sept Rosado
248,Aluguel - Apartamento no Condomínio Estrela De Natal,R$ 1.450,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Pitimbu
249,3/4 em Candelaria ,R$ 2.200,"['3 quartos ', ' 105m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Candelária
250,LM FL0101 Flat Residencial Ocean View,R$ 2.000,"['1 quarto ', ' 500m² ', ' 1 vaga']",Petrópolis
251,Ter essa vista incrivel todas os dias!!! More em Ponta Negra,R$ 3.000,"['2 quartos ', ' 1 vaga']",Ponta Negra
252,"Apartamento para Locação em Natal, Petrópolis, 4 dormitórios, 2 suítes, 4 banheiros, 2 vag",R$ 3.500,"['4 quartos ', ' 240m² ', ' 2 vagas']",Petrópolis
253,"Apartamento com 3 dormitórios para alugar, 134 m² por R 2.300,00/mês - Candelária - Natal/",R$ 2.300,"['3 quartos ', ' 134m² ', ' 2 vagas']",Candelária
254,"Apartamento para Locação em Natal, Petrópolis, 4 dormitórios, 4 suítes, 5 banheiros, 2 vag",R$ 3.000,"['4 quartos ', ' 240m² ', ' 2 vagas']",Petrópolis
255,"Apartamento para Locação em Natal, Capim Macio, 2 dormitórios, 1 banheiro, 1 vaga",R$ 1.700,"['2 quartos ', ' 55m² ', ' 1 vaga']",Capim Macio
256,"Residencial Monte Castelo, Barro Vermelho - Apto 2/4 sendo 1 suíte com 79m², para alugar",R$ 1.450,"['2 quartos ', ' 79m² ', ' 1 vaga']",Barro Vermelho
257,Flat Interatlantico!!,R$ 2.500,"['1 quarto ', ' 46m² ', ' 1 vaga']",Petrópolis
258,"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:816593",R$ 900,"['3 quartos ', ' 70m² ', ' Condomínio: R$ 500 ', ' 1 vaga']",Lagoa Nova
259,Alugo excelente Kitnet em Lagoa nova,R$ 650,"['1 quarto ', ' 0m² ', ' 1 vaga']",Lagoa Nova
260,"Kitnet conjt Pirangi Neópolis 600,00 água luz e internet",R$ 600,['1 quarto'],Neópolis
261,  PRAIA DE PIRANGI - FEVEREIRO E CARNAVAL                ,,"['3 quartos ', ' 2 vagas']",Candelária
262,"Apartamento para alugar, 340 m² , com 4 Suítes no Tirol.",R$ 1.653,"['4 quartos ', ' 318m² ', ' Condomínio: R$ 2.952 ', ' 3 vagas']",Tirol
263,Alugo apto,R$ 850,"['3 quartos ', ' 75m² ', ' Condomínio: R$ 1 ', ' 1 vaga']",Neópolis
264,"105APA - Alugo apartamento com 3 quartos, semi mobiliado em Capim Macio",R$ 2.500,"['3 quartos ', ' 78m² ', ' 2 vagas']",Capim Macio
265,Apartamento no bairro latino,R$ 1.400,"['3 quartos ', ' 100m² ', ' 1 vaga']",Candelária
266,Apartamento jardim imperial,R$ 680,"['2 quartos ', ' 60m² ', ' 1 vaga']",Planalto
267,"Apartamento com 2 dormitórios para alugar, 57 m² por R$ 1./mês - Tirol - Natal/RN",R$ 1.800,"['2 quartos ', ' 57m² ', ' 1 vaga']",Tirol
268,Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,R$ 1.600,"['1 quarto ', ' 36m²']",Ponta Negra
269,"Kitnet conjt Pirangi Neópolis, 480,00 água,luz e internet",R$ 480,['1 quarto'],Neópolis
270,LOCAÇÃO em Ponta Negra!! Condomínio Therramare. 2 quartos/ 1 suíte,R$ 1.600,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
271,Edifício Granada Flat/ Ponta Negra-Natal RN,R$ 1.600,"['1 quarto ', ' 53m² ', ' 1 vaga']",Ponta Negra
272,Alugo kitnet em Dix Sept Rosado,R$ 300,"['1 quarto ', ' 0m²']",Nossa Senhora de Nazaré
273,Apt 285 m2 -LOCAÇÃO!! 4 suítes em Candelária!! Condomínio Solaris,R$ 5.000,"['5 ou mais quarto ', ' 285m² ', ' 3 vagas']",Candelária
274,Alugo apartamento novo. Execelente localização! Valor incluso condomínio e taxas. ,R$ 1.200,"['2 quartos ', ' 48m² ', ' 1 vaga']",Neópolis
275,Seu 3/4 Seu Novo Endereço Ponta Negra.,R$ 2.000,"['3 quartos ', ' 88m² ', ' 2 vagas']",Ponta Negra
276,"Apartamento para alugar com 2 dormitórios em Nova cidade, Natal cod:814723",R$ 950,"['2 quartos ', ' 43m² ', ' Condomínio: R$ 111 ', ' 1 vaga']",Candelária
277,"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.400,00/mês - Ribeira - Natal/RN",R$ 1.400,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ribeira
278,"Apartamento Estrela do Atlântico, 2 quartos - Ponta Negra",R$ 1.850,"['2 quartos ', ' 59m² ', ' 1 vaga']",Ponta Negra
279,"Apartamento para Locação em Natal, Morro Branco, 3 dormitórios, 1 suíte, 2 banheiros, 2 va",R$ 1.700,"['3 quartos ', ' 82m² ', ' 2 vagas']",Nova Descoberta
280,"Flat com 1 dormitório para alugar, 58 m² por R 1.800,00/mês - Petrópolis - Natal/RN",R$ 1.800,"['1 quarto ', ' 58m² ', ' 1 vaga']",Petrópolis
281,"Flat com 1 dormitório para alugar, 35 m² por R$ 2.000,00/mês - Petrópolis - Natal/RN",R$ 2.000,"['1 quarto ', ' 35m² ', ' 1 vaga']",Petrópolis
282,Apartamento 02 quartos semi mobiliado no Res. Luiz de Barros,R$ 1.550,"['2 quartos ', ' 61m² ', ' 2 vagas']",Petrópolis
283,Apartamento Ponta Negra ,R$ 900,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 1 ', ' 1 vaga']",Neópolis
284,Aluga se esse apartamento no condomínio Caiapos no bairro do pitimbu,R$ 750.000,"['2 quartos ', ' 55m² ', ' 1 vaga']",Pitimbu
285,"Condomínio Villagio Di Roma, Lagoa Nova - Apartamento 2 quartos, com 68m², para alugar",R$ 1.250,"['2 quartos ', ' 68m² ', ' 1 vaga']",Lagoa Nova
286,Apartamento mobiliado em Ponta negra com 2 quartos,R$ 1.800,"['2 quartos ', ' 53m² ', ' 1 vaga']",Capim Macio
287,Alugo apartamento no Condomínio  Portal da Lagoa ,R$ 1.500,"['2 quartos ', ' 75m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Lagoa Nova
288,Alugo Apartamento 2/4 no Cond. Green Hill em Tirol,R$ 1.093,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 450 ', ' 1 vaga']",Tirol
289,Alugo apartamento no bosque das pedras Neópolis ,R$ 700,"['1 quarto ', ' 40m²']",Quintas
290,aluga-se apto no Flamboyant's 2/4,R$ 850,"['2 quartos ', ' 65m² ', ' Condomínio: R$ 0']",Capim Macio
291,"Apt. em Capim Macio c/ 57 m², 2 dorms. c/ suíte, excelente localização",R$ 1.500,"['2 quartos ', ' 57m² ', ' 1 vaga']",Capim Macio
292,"Apt. em Capim Macio c/ 68 m², 3 dorms c/ suíte, 2 vagas de garagem",R$ 1.900,"['3 quartos ', ' 68m² ', ' 2 vagas']",Capim Macio
293,"Lindo flat mobiliado em ponta negra incluso internet, água, gás, condomínio, IPTU",R$ 1.400,"['1 quarto ', ' 35m² ', ' Condomínio: R$ 0']",Ponta Negra
294,"Flat Macarena com 2\4 em ponta negra com excelente, em frente ao praia shopping",R$ 1.600,"['2 quartos ', ' 40m² ', ' Condomínio: R$ 0']",Ponta Negra
295,"Alugo apto no condomínio Terramaris com 2/4 suite Ponta Negra R$ 1.300,00",R$ 1.300,"['2 quartos ', ' 58m² ', ' 1 vaga']",Ponta Negra
296,Apartamento 2 quartos ZN conjunto santa catarina,R$ 500,"['2 quartos ', ' 90m²']",Potengi
297,Apartamento 3 suites em ponta negra com armeiros e ar condicionando,R$ 2.200,"['3 quartos ', ' 102m² ', ' Condomínio: R$ 580 ', ' 2 vagas']",Ponta Negra
298,Frente Mar!,R$ 2.300,"['2 quartos ', ' 59m² ', ' 1 vaga']",Ponta Negra
299,"Apartamento a 1km da praia de ponta negra, lado da sombra no Residencial Porto Tropical",R$ 1.450,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
300,Aluga-se apartamento no Flamboyants - Capim macio,R$ 700,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
301,"Alugo Kitnet no Bairro Planalto 1/4 R$ 390,00 incluso água e garagem coberta",R$ 390,"['1 quarto ', ' 0m² ', ' 1 vaga']",Planalto
302,Apto com 240m² | 3° andar - (elevador) | Sombra no Res. Itatiaia - Capim Macio,R$ 2.000,"['4 quartos ', ' 240m² ', ' 2 vagas']",Capim Macio
303,Apartamento 2 quartos + DCE - Dix.Sept Rosado - Natal,R$ 1.000,"['2 quartos ', ' 85m² ', ' 1 vaga']",Dix-Sept Rosado
304,ALUGO APARTAMENTO 3/4 RES OLIMPO CL5787,R$ 1.599,"['3 quartos ', ' 60m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
305,O padrão que você conhece . Maximum flat 2/4 oportunidade,R$ 2.500,"['2 quartos ', ' 1 vaga']",Ponta Negra
306,Cobertura Duplex 600m2 de sofisticação e luxo em Lagoa Nova,R$ 8.000,"['4 quartos ', ' 600m² ', ' 4 vagas']",Nova Descoberta
307,Belíssimo Flat no Ocean View - 1 quarto,R$ 2.000,"['1 quarto ', ' 50m² ', ' 1 vaga']",Petrópolis
308,Apartamento de 1/4 Com Garagem em Ponta Negra ,R$ 520,"['1 quarto ', ' 1 vaga']",Ponta Negra
309,"Apartamento com 4 dormitórios para alugar, 109 m² por R$ 2.800/mês - Capim Macio - Natal/R",R$ 2.800,"['4 quartos ', ' 109m² ', ' 2 vagas']",Capim Macio
310,"Alugo apartamento em Capim Macio - Maria Bernadete Três quartos, sendo uma suíte",R$ 2.500,"['3 quartos ', ' 78m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Capim Macio
311,"Alugo 1º andar, no panatis , Av. das Fronteiras",R$ 650,"['2 quartos ', ' 120m² ', ' 2 vagas']",Nossa Senhora da Apresentação
312,Alugo apartamento 3/4 mobiliado no Residencial Belo Oceano,R$ 2.300,"['2 quartos ', ' 67m² ', ' 2 vagas']",Ponta Negra
313,"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:AP1363",R$ 1.600,"['2 quartos ', ' 60m² ', ' 1 vaga']",Ponta Negra
314,Alugo quartos pra casal,R$ 300,"['1 quarto ', ' 1 vaga']",Pajuçara
315,"PALAZZO CONCA D'ORO AREIA PRETA 2 suítes, mobiliado, por R$ 2.500,00",R$ 2.500,"['2 quartos ', ' 68m² ', ' 1 vaga']",Areia Preta
316,Cobertura  Duplex Altíssimo Padrão 100%mobiliada,R$ 5.000,"['5 ou mais quarto ', ' 600m² ', ' 4 vagas']",Ponta Negra
317,"Apartamento com 2 dormitórios para alugar, 94 m² - Candelária - Natal/RN - AP0359",R$ 750,"['2 quartos ', ' 94m² ', ' Condomínio: R$ 427 ', ' 2 vagas']",Candelária
318,"Apartamento para alugar com 2 dormitórios em Neópolis, Natal cod:817253",R$ 650,"['2 quartos ', ' 60m² ', ' Condomínio: R$ 200 ', ' 1 vaga']",Neópolis
319,Alugo excelente apartamento de 02 quartos em Ponta Negra,R$ 1.000,"['2 quartos ', ' 60m²']",Ponta Negra
320,Cobertura Top em Lagoa Nova. ,R$ 8.000,"['4 quartos ', ' 600m² ', ' 4 vagas']",Ponta Negra
321,"Apartamento para alugar com 2 dormitórios em Neópolis, Natal cod:AP0822",R$ 1.100,"['2 quartos ', ' 60m²']",Neópolis
322,Apto 2 quartos Vila de Ponta Negea,R$ 600,"['2 quartos ', ' 49m² ', ' Condomínio: R$ 0']",Ponta Negra
323,Caminho das Dunas Disponivel para locação,R$ 1.600,"['2 quartos ', ' 1 vaga']",Capim Macio
324,"Venha morar em um apto com 240 m², no bairro nobre de Petrópolis",R$ 3.500,"['4 quartos ', ' 240m² ', ' 2 vagas']",Petrópolis
325,Corais de Ponta Negra . chegou a hora de você trazer a sua mudança,R$ 2.300,"['3 quartos ', ' 2 vagas']",Ponta Negra
326,Aluga se esse apartamento no pitimbu,R$ 1.100,"['2 quartos ', ' 55m² ', ' 1 vaga']",Pitimbu
327,Aluga-se kitnet-Barro Vermelho ,R$ 600,"['1 quarto ', ' 29m² ', ' Condomínio: R$ 0']",Barro Vermelho
328,Apartamento flat 2 quartos no Litoral Maximo Pnegra,R$ 2.100,"['2 quartos ', ' 57m² ', ' 1 vaga']",Ponta Negra
329,"Apartamento para alugar com 1 dormitórios em Lagoa nova, Natal cod:821252",R$ 750,"['1 quarto ', ' 48m² ', ' Condomínio: R$ 230 ', ' 1 vaga']",Dix-Sept Rosado
330,Apartamento em Lagoa Nova,R$ 2.000,"['3 quartos ', ' 98m² ', ' 2 vagas']",Candelária
331,Sala Comercial Miguel Seabra Fagundes vizinho ao Forum,R$ 1.600,"['2 quartos ', ' 40m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Lagoa Nova
332,Flat mobiliado em Petrópolis no Ocean View com 1\4 com lindo acabamento,R$ 2.000,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Petrópolis
333,Locação Apartamento Mobiliado COD Loc 0815,R$ 2.900,"['2 quartos ', ' 50m² ', ' 1 vaga']",Tirol
334,LC2202 - Apartamento no residencial no Sun Tower!,R$ 1.700,"['2 quartos ', ' 58m² ', ' 1 vaga']",Pitimbu
335,LCAP1270 - Apartamento no residencial Imperial Ponta Negra,R$ 2.780,"['3 quartos ', ' 102m² ', ' 2 vagas']",Ponta Negra
336,Apartamento Com vista para o mar e morro do careca- Aluguel diária ,R$ 290,"['1 quarto ', ' 48m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
337,LCAP2200 - Excelente apartamento no residencial Infinity Areia Preta!,R$ 10.000,"['5 ou mais quarto ', ' 276m² ', ' 3 vagas']",Ponta Negra
338,LCFL0172 - Flat totalmente mobiliado em Ponta Negra!,R$ 1.500,"['1 quarto ', ' 35m² ', ' 1 vaga']",Ponta Negra
339,LCFL0101 - excelente Flat Ocean View!,R$ 2.000,"['1 quarto ', ' 50m² ', ' 1 vaga']",Petrópolis
340,Apartamentos na praia do meio em Promoção,R$ 500,"['1 quarto ', ' 34m² ', ' Condomínio: R$ 182']",Praia do Meio
341,Apartamento- Kitnet- Creci 1912 - Planalto,R$ 300,"['1 quarto ', ' 0m²']",Planalto
342,Ótimo kitnet em Ponta Negra,R$ 550,"['1 quarto ', ' 0m²']",Ponta Negra
343,"Apartamento com 3 dormitórios para alugar, 215 m² por R$ 6.000,00/mês - Petrópolis - Natal",R$ 6.000,"['3 quartos ', ' 215m²']",Petrópolis
344,Aluga-se flat mobiliado em ponta negra ,R$ 1.100,['1 quarto'],Ponta Negra
345,Oportunidade em Capim macio. Disponivel para locação,R$ 2.500,"['3 quartos ', ' 1 vaga']",Capim Macio
346,Alugo apto ,R$ 300,"['1 quarto ', ' 60m² ', ' Condomínio: R$ 300 ', ' 1 vaga']",Pitimbu
347,Apto 3/4 sendo 2 suítes + Dependência 2 vaga coberta,R$ 2.380,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 710 ', ' 2 vagas']",Tirol
348,Residencial Luxu´s,R$ 1.300,"['1 quarto ', ' 50m²']",Ponta Negra
349,Kitnets no conjunto\ nova natal zona norte,R$ 250,['13m²'],Lagoa Azul
350,Kitnet Alecrim Av 6 - Creci 1912,R$ 330,"['1 quarto ', ' 0m²']",Alecrim
351,"Giovanni Bellini, Lagoa Nova - Apartamento 3/4 sendo 03 suítes com 109m², para alugar",R$ 2.900,"['3 quartos ', ' 109m² ', ' 2 vagas']",Lagoa Nova
352,"Apartamentos em Lagoa Nova, Natal/RN, vizinho UnP da Nascimento Castro",R$ 720,"['1 quarto ', ' 26m²']",Lagoa Nova
353,"Apartamento para alugar com 1 dormitórios em Neópolis, Natal cod:11182",R$ 600,"['1 quarto ', ' 30m² ', ' 1 vaga']",Neópolis
354,Alugo apartamento em Tirol,R$ 2.200,"['3 quartos ', ' 165m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Cidade Alta
355,Apartamento 2 quartos para alugar - Capim Macio - Natal/RN.,R$ 1.300,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 320 ', ' 1 vaga']",Capim Macio
356,Apartamento com 3 quartos em Tirol,R$ 900,"['3 quartos ', ' 0m² ', ' 1 vaga']",Tirol
357,Aluga-se flat ponta negra,R$ 150,"['1 quarto ', ' 44m² ', ' 1 vaga']",Ponta Negra
358,Kit-Net Básico ,R$ 260,"['1 quarto ', ' Condomínio: R$ 0']",Nossa Senhora da Apresentação
359,"Apartamento com 3 dormitórios para alugar, 101 m² por R$ 3.900,00/mês - Ponta Negra - Nata",R$ 3.900,"['3 quartos ', ' 101m² ', ' 3 vagas']",Ponta Negra
360,Condomínio Fênix,R$ 650,['1 quarto'],Lagoa Nova
361,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:AA-7205",R$ 700,"['1 quarto ', ' 1 vaga']",Barro Vermelho
362,"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:EI23024",R$ 1.100,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 500 ', ' 1 vaga']",Capim Macio
363,Flat no Quality Suites Natal  apartamento,R$ 250,"['1 quarto ', ' 22m² ', ' 1 vaga']",Candelária
364,"Alugo apartamento 1 quarto, R$ 750,00",R$ 750,"['1 quarto ', ' 25m²']",Capim Macio
365,"Apartamento para alugar com 2 dormitórios em Cidade alta, Natal cod:EI10882",R$ 850,"['2 quartos ', ' 80m² ', ' Condomínio: R$ 400 ', ' 1 vaga']",Cidade Alta
366,"Apartamento com 3 dormitórios para alugar, 75 m² por R$ 1.800,00/mês - Dix-Sept Rosado - N",R$ 1.800,"['3 quartos ', ' 75m² ', ' 2 vagas']",Dix-Sept Rosado
367,"Apartamento para alugar com 2 dormitórios em Ribeira, Natal cod:11061",R$ 850,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 450 ', ' 1 vaga']",Ribeira
368,"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:AA-7203",R$ 864,"['2 quartos ', ' 68m² ', ' Condomínio: R$ 358']",Capim Macio
369,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,R$ 1.502,"['3 quartos ', ' 70m²']",Capim Macio
370,Apartamento no Condomínio Açaí Flat ponta negra com internet e maquina de lavar,R$ 1.750,"['1 quarto ', ' 36m² ', ' Condomínio: R$ 0']",Ponta Negra
371,"Apartamento com 2 dormitórios para alugar, 68 m² por R$ 1.150,00/mês - Capim Macio - Natal",R$ 1.150,"['2 quartos ', ' 68m² ', ' 1 vaga']",Capim Macio
372,Apartamento mobiliado de 2 quartos,R$ 3.500,"['2 quartos ', ' 45m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
