NOME,ENDERECO,QUARTOS,VAGAS,CONDOMINIO,AREA,VALOR
"Condomínio Villagio Di Roma, Lagoa Nova - Apartamento 2 quartos, com 68m², para alugar",Lagoa Nova,2,1,0,68,1250.0
Apartamento mobiliado em Ponta negra com 2 quartos,Capim Macio,2,1,0,53,1800.0
Alugo apartamento no Condomínio  Portal da Lagoa ,Lagoa Nova,2,1,0,75,1500.0
Alugo Apartamento 2/4 no Cond. Green Hill em Tirol,Tirol,2,1,450,57,1093.0
Alugo apartamento no bosque das pedras Neópolis ,Quintas,1,0,0,40,700.0
aluga-se apto no Flamboyant's 2/4,Capim Macio,2,0,0,65,850.0
"Apt. em Capim Macio c/ 57 m², 2 dorms. c/ suíte, excelente localização",Capim Macio,2,1,0,57,1500.0
"Apt. em Capim Macio c/ 68 m², 3 dorms c/ suíte, 2 vagas de garagem",Capim Macio,3,2,0,68,1900.0
"Lindo flat mobiliado em ponta negra incluso internet, água, gás, condomínio, IPTU",Ponta Negra,1,0,0,35,1400.0
"Flat Macarena com 2\4 em ponta negra com excelente, em frente ao praia shopping",Ponta Negra,2,0,0,40,1600.0
"Alugo apto no condomínio Terramaris com 2/4 suite Ponta Negra R$ 1.300,00",Ponta Negra,2,1,0,58,1300.0
Apartamento 2 quartos ZN conjunto santa catarina,Potengi,2,0,0,90,500.0
Apartamento 3 suites em ponta negra com armeiros e ar condicionando,Ponta Negra,3,2,580,102,2200.0
Frente Mar!,Ponta Negra,2,1,0,59,2300.0
"Apartamento a 1km da praia de ponta negra, lado da sombra no Residencial Porto Tropical",Ponta Negra,2,1,0,57,1450.0
Aluga-se apartamento no Flamboyants - Capim macio,Capim Macio,2,1,0,50,700.0
"Alugo Kitnet no Bairro Planalto 1/4 R$ 390,00 incluso água e garagem coberta",Planalto,1,1,0,0,390.0
Apto com 240m² | 3° andar - (elevador) | Sombra no Res. Itatiaia - Capim Macio,Capim Macio,4,2,0,240,2000.0
Apartamento 2 quartos + DCE - Dix.Sept Rosado - Natal,Dix-Sept Rosado,2,1,0,85,1000.0
ALUGO APARTAMENTO 3/4 RES OLIMPO CL5787,Capim Macio,3,1,0,60,1599.0
O padrão que você conhece . Maximum flat 2/4 oportunidade,Ponta Negra,2,1,0,0,2500.0
Cobertura Duplex 600m2 de sofisticação e luxo em Lagoa Nova,Nova Descoberta,4,4,0,600,8000.0
Belíssimo Flat no Ocean View - 1 quarto,Petrópolis,1,1,0,50,2000.0
Apartamento de 1/4 Com Garagem em Ponta Negra ,Ponta Negra,1,1,0,0,520.0
"Apartamento com 4 dormitórios para alugar, 109 m² por R$ 2.800/mês - Capim Macio - Natal/R",Capim Macio,4,2,0,109,2800.0
"Alugo apartamento em Capim Macio - Maria Bernadete Três quartos, sendo uma suíte",Capim Macio,3,2,0,78,2500.0
"Alugo 1º andar, no panatis , Av. das Fronteiras",Nossa Senhora da Apresentação,2,2,0,120,650.0
Alugo apartamento 3/4 mobiliado no Residencial Belo Oceano,Ponta Negra,2,2,0,67,2300.0
"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:AP1363",Ponta Negra,2,1,0,60,1600.0
Alugo quartos pra casal,Pajuçara,1,1,0,0,300.0
"PALAZZO CONCA D'ORO AREIA PRETA 2 suítes, mobiliado, por R$ 2.500,00",Areia Preta,2,1,0,68,2500.0
Cobertura  Duplex Altíssimo Padrão 100%mobiliada,Ponta Negra,1,4,0,600,5000.0
"Apartamento com 2 dormitórios para alugar, 94 m² - Candelária - Natal/RN - AP0359",Candelária,2,2,427,94,750.0
"Apartamento para alugar com 2 dormitórios em Neópolis, Natal cod:817253",Neópolis,2,1,200,60,650.0
Alugo excelente apartamento de 02 quartos em Ponta Negra,Ponta Negra,2,0,0,60,1000.0
Cobertura Top em Lagoa Nova. ,Ponta Negra,4,4,0,600,8000.0
"Apartamento para alugar com 2 dormitórios em Neópolis, Natal cod:AP0822",Neópolis,2,0,0,60,1100.0
Apto 2 quartos Vila de Ponta Negea,Ponta Negra,2,0,0,49,600.0
Caminho das Dunas Disponivel para locação,Capim Macio,2,1,0,0,1600.0
"Venha morar em um apto com 240 m², no bairro nobre de Petrópolis",Petrópolis,4,2,0,240,3500.0
Corais de Ponta Negra . chegou a hora de você trazer a sua mudança,Ponta Negra,3,2,0,0,2300.0
Aluga se esse apartamento no pitimbu,Pitimbu,2,1,0,55,1100.0
Aluga-se kitnet-Barro Vermelho ,Barro Vermelho,1,0,0,29,600.0
Apartamento flat 2 quartos no Litoral Maximo Pnegra,Ponta Negra,2,1,0,57,2100.0
"Apartamento para alugar com 1 dormitórios em Lagoa nova, Natal cod:821252",Dix-Sept Rosado,1,1,230,48,750.0
Apartamento em Lagoa Nova,Candelária,3,2,0,98,2000.0
Sala Comercial Miguel Seabra Fagundes vizinho ao Forum,Lagoa Nova,2,2,0,40,1600.0
Flat mobiliado em Petrópolis no Ocean View com 1\4 com lindo acabamento,Petrópolis,1,1,0,40,2000.0
Locação Apartamento Mobiliado COD Loc 0815,Tirol,2,1,0,50,2900.0
LC2202 - Apartamento no residencial no Sun Tower!,Pitimbu,2,1,0,58,1700.0
LCAP1270 - Apartamento no residencial Imperial Ponta Negra,Ponta Negra,3,2,0,102,2780.0
Apartamento Com vista para o mar e morro do careca- Aluguel diária ,Ponta Negra,1,1,0,48,290.0
LCAP2200 - Excelente apartamento no residencial Infinity Areia Preta!,Ponta Negra,1,3,0,276,10000.0
LCFL0172 - Flat totalmente mobiliado em Ponta Negra!,Ponta Negra,1,1,0,35,1500.0
LCFL0101 - excelente Flat Ocean View!,Petrópolis,1,1,0,50,2000.0
Apartamentos na praia do meio em Promoção,Praia do Meio,1,0,182,34,500.0
Apartamento- Kitnet- Creci 1912 - Planalto,Planalto,1,0,0,0,300.0
Ótimo kitnet em Ponta Negra,Ponta Negra,1,0,0,0,550.0
"Apartamento com 3 dormitórios para alugar, 215 m² por R$ 6.000,00/mês - Petrópolis - Natal",Petrópolis,3,0,0,215,6000.0
Aluga-se flat mobiliado em ponta negra ,Ponta Negra,1,0,0,0,1100.0
Oportunidade em Capim macio. Disponivel para locação,Capim Macio,3,1,0,0,2500.0
Alugo apto ,Pitimbu,1,1,300,60,300.0
Apto 3/4 sendo 2 suítes + Dependência 2 vaga coberta,Tirol,3,2,710,100,2380.0
Residencial Luxu´s,Ponta Negra,1,0,0,50,1300.0
Kitnets no conjunto\ nova natal zona norte,Lagoa Azul,1,0,0,13,250.0
Kitnet Alecrim Av 6 - Creci 1912,Alecrim,1,0,0,0,330.0
"Giovanni Bellini, Lagoa Nova - Apartamento 3/4 sendo 03 suítes com 109m², para alugar",Lagoa Nova,3,2,0,109,2900.0
"Apartamentos em Lagoa Nova, Natal/RN, vizinho UnP da Nascimento Castro",Lagoa Nova,1,0,0,26,720.0
"Apartamento para alugar com 1 dormitórios em Neópolis, Natal cod:11182",Neópolis,1,1,0,30,600.0
Alugo apartamento em Tirol,Cidade Alta,3,2,0,165,2200.0
Apartamento 2 quartos para alugar - Capim Macio - Natal/RN.,Capim Macio,2,1,320,55,1300.0
Apartamento com 3 quartos em Tirol,Tirol,3,1,0,0,900.0
Aluga-se flat ponta negra,Ponta Negra,1,1,0,44,150.0
Kit-Net Básico ,Nossa Senhora da Apresentação,1,0,0,0,260.0
"Apartamento com 3 dormitórios para alugar, 101 m² por R$ 3.900,00/mês - Ponta Negra - Nata",Ponta Negra,3,3,0,101,3900.0
Condomínio Fênix,Lagoa Nova,1,0,0,0,650.0
"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:AA-7205",Barro Vermelho,1,1,0,0,700.0
"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:EI23024",Capim Macio,2,1,500,55,1100.0
Flat no Quality Suites Natal  apartamento,Candelária,1,1,0,22,250.0
"Alugo apartamento 1 quarto, R$ 750,00",Capim Macio,1,0,0,25,750.0
"Apartamento para alugar com 2 dormitórios em Cidade alta, Natal cod:EI10882",Cidade Alta,2,1,400,80,850.0
"Apartamento com 3 dormitórios para alugar, 75 m² por R$ 1.800,00/mês - Dix-Sept Rosado - N",Dix-Sept Rosado,3,2,0,75,1800.0
"Apartamento para alugar com 2 dormitórios em Ribeira, Natal cod:11061",Ribeira,2,1,450,55,850.0
"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:AA-7203",Capim Macio,2,0,358,68,864.0
Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,Capim Macio,3,0,0,70,1502.0
Apartamento no Condomínio Açaí Flat ponta negra com internet e maquina de lavar,Ponta Negra,1,0,0,36,1750.0
"Apartamento com 2 dormitórios para alugar, 68 m² por R$ 1.150,00/mês - Capim Macio - Natal",Capim Macio,2,1,0,68,1150.0
Apartamento mobiliado de 2 quartos,Ponta Negra,2,1,0,45,3500.0
Kit Net ou Sala Comercial - Em Ponta Negra - Praça do Gringos,Ponta Negra,1,1,0,0,650.0
Sala no Tirol Way Office - Bairro Tirol - taxas inclusa,Tirol,1,1,1,36,1599.0
Kitnet ,Cidade Nova,1,0,0,0,300.0
Apto em Candelaria,Candelária,3,2,0,105,2300.0
Oferta - Marie Galante em Lagoa Nova - Aluga,Candelária,3,3,0,98,2200.0
Kitnet pra ALUGAR ,Lagoa Azul,1,0,0,0,400.0
"Alugo Excelente Flat no Ocean View R$: 2.000,00/Mensal",Petrópolis,1,1,0,50,2000.0
Kitnet e Apartamento próximo à UFRN,Lagoa Nova,1,0,0,0,800.0
Kitnet bem localizado no bom pastor.,Bom Pastor,1,1,0,0,380.0
AP1454 Apartamento Residencial / Barro Vermelho,Barro Vermelho,2,1,0,67,1100.0
"Apartamento em Ponta Negra, Natal/RN",Neópolis,2,1,0,45,1000.0
"Residencial Cristallo, Ponta Negra - Apto mobiliado 2/4 sendo 1 suíte, para alugar",Ponta Negra,2,1,0,0,2300.0
Aluguel em Candelária R6 - Cl,Candelária,4,0,0,450,3500.0
Alameda dos Eucaliptos ,Neópolis,2,0,0,0,900.0
"Aluga-se apto no cond. Solar das Nações 800reais, já incluso taxas",Candelária,2,1,270,55,800.0
Aluga-se Apto cond. Araguaia com 3 quartos R$ 1.200mil reais,Lagoa Nova,3,1,350,98,1200.0
Aluga-se kit Net no bairro satélite com 1 suíte. cozinha americana. R$ 550reais,Pitimbu,1,0,0,0,550.0
Condomínio Praia do Forte,Ponta Negra,2,1,400,48,1000.0
Alugo Kitnet em Lagoa Nova (Próximo a UFRN e UNP),Lagoa Nova,1,0,0,55,500.0
Me alugue! Sou um kitnet novinho com versão à partir de R$ 750,Lagoa Nova,1,0,0,19,750.0
Uma Lindeza Mobilado Em Tirol Flat,Petrópolis,1,1,0,56,2300.0
Apartamento andar alto Sun Tower/pitimbu/satelite/,Pitimbu,2,2,0,59,1250.0
"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:AP1402",Ponta Negra,2,1,0,48,880.0
"Sou um apartamento no 13 andar do Quatro Estações disponível por R$ 1.590,00",Candelária,2,0,0,57,1590.0
Alugo apartamento na cidade Alta,Cidade Alta,2,0,0,75,650.0
Apartamento Super bem Localizado em Capim Macio,Capim Macio,2,1,0,55,1200.0
Duna Barcane mobiliado,Ponta Negra,2,2,0,56,289999.0
Locação ? Condomínio Brasil Colônia em Lagoa Nova - 120 m² 03 Suítes,Lagoa Nova,3,2,0,120,2900.0
Vila do Mar - Codomínio Praia do Forte - Unidade 303 (Ponta Negra),Ponta Negra,2,1,0,48,1000.0
Kitnet Mirassol,Capim Macio,1,0,0,28,
Kitnets  em Neópolis. ,Neópolis,1,0,0,0,
Flat Mobiliado Aluguel Lagoa Nova,Lagoa Nova,1,1,0,30,1400.0
Apartamentos para estudantes Capim Macio ,Capim Macio,2,1,0,35,1000.0
Palazzo Ponta Negra.  Oportunidade,Capim Macio,4,3,0,0,4299.0
Sua Nova opção de investir ou morar Ponta Negra,Ponta Negra,2,1,0,0,350000.0
Excelente Apartamento 3/4 sendo 3 suítes no cond. Imperial de Ponta Negra,Ponta Negra,3,2,0,102,2780.0
Apartamento com 3\4 em ponta negra em condomínio Club muito ventilado,Ponta Negra,3,2,0,100,2199.0
"Apartamento Mobiliado Alto Padrão com 4 suítes em Areia Preta, Cond Infinity Areia Preta",Ponta Negra,1,3,0,276,10000.0
"Apartamento em Ponta Negra (10º andar, ventilado, 2/4 sendo 01 suíte, R$ 1.500 reais)",Pitimbu,2,1,0,56,1500.0
Apartamento em candelária divisa com lagoa nova com 3\4 com acabamento de alta qualidade,Candelária,3,2,0,87,2500.0
Kitnets /Ap. 1 Quarto - Mobiliados em P. Negra,Ponta Negra,1,1,0,30,700.0
Studio em Ponta-Negra em Hotel super novo,Ponta Negra,1,1,0,27,1950.0
"Apartamento para alugar com 2 dormitórios em Nova descoberta, Natal cod:11277",Nova Descoberta,2,1,551,65,700.0
(Leia a descrição) Apto para aluguel em Ponta Negra.,Ponta Negra,2,1,0,54,1500.0
Alugo Apartamento no top life 2 quartos ,Nossa Senhora da Apresentação,2,1,0,47,1100.0
Alugo apartamento na zona sul de Nata RN,Capim Macio,3,1,0,95,1100.0
"Apto 3/4 + dependência, condomínio excelente 3000,00 incluso taxas",Neópolis,3,2,0,115,3150.0
"Apartamento com 3 quartos, 267 m², aluguel por R$ 2.000/mês",Petrópolis,1,0,0,267,2000.0
Excelente Apartamento 3/4 em ponta negra Terramaris Club Condominium,Ponta Negra,3,2,0,101,3500.0
Apartamento 1 quarto proximo midway e unp,Lagoa Seca,1,0,0,0,700.0
Aluga-se apartamento em lagoa nova,Cidade da Esperança,3,2,0,85,2300.0
Apartamento Pertinho do Max Supermercado COD Loc 0812,Lagoa Nova,1,1,0,70,850.0
Apartamento,Pitimbu,2,1,1,49,1200.0
Residencial Áurea Guedes (Praia de Ponta Negra-RN),Ponta Negra,2,1,0,52,250000.0
Alugo excelente apartamento no Residencial Mar del Plata! 84.99125-14-05,Planalto,2,1,0,55,850.0
"Alugo apartamento no residencial Sun Set, em neópolis!",Ponta Negra,1,0,0,0,
"Alugo apartamento no condominio, sun tower, projetado, lindo apartamento!",Pitimbu,2,1,0,58,1280.0
Kitnet UFRN,Capim Macio,1,1,0,0,600.0
Alugo apt 3 quartos no tirol,Tirol,3,2,0,100,1500.0
Apart mobiliado ,Ponta Negra,2,0,0,0,2200.0
Lindo apartamento alto padrão ,Ponta Negra,1,0,0,0,4500.0
Apartamento no condominio villagio Verita,Pitimbu,2,1,0,0,1000.0
"Alugo apto no condomínio Terramaris com 2/4 suite Ponta Negra R$ 1.300,00",Ponta Negra,2,1,0,55,1300.0
Aluguel Flat Ponta Negra,Ponta Negra,1,1,0,36,1700.0
Apartamento Mobiliado- Creci 1912- Petropolis,Petrópolis,2,1,0,0,2000.0
Apartamento 2/4 em Ponta negra - Cond. Ecogarden,Ponta Negra,2,1,0,0,1100.0
Apartamento Mobiliado - Cond Luis Barros - Creci 1912,Petrópolis,3,1,0,0,2000.0
Aluguel Apto Pallacios,Tirol,2,1,0,56,2050.0
"Apartamento com 2 quartos, 65 m², aluguel por R$ 1.240/mês",Capim Macio,2,1,0,65,1240.0
Procuro uma moça pra dividir um apartamento,Nossa Senhora da Apresentação,2,0,0,0,400.0
Apartamento de 3 quartos Condomínio Áurea Guedes,Ponta Negra,3,2,0,67,349990.0
Apartamento para alugar satéite,Pitimbu,1,1,0,25,600.0
Condomínio Reserva das Praias,Ponta Negra,2,1,0,0,2500.0
R$ 1.500 Aluguel - Apartamento em Ponta Negra - 1 suíte - Kiwi Flat - 36m²,Ponta Negra,1,0,0,40,1500.0
Flat em ponta negra próximo da av engenheiro roberto freire com 1\4,Ponta Negra,1,1,0,40,1500.0
Alugo apartamento no Serrambi II,Ponta Negra,2,1,0,56,750.0
Aluguel ,Planalto,2,0,0,0,
AP 2 quartos próximo a UFRN em Mirassol (fone/wpp *37),Capim Macio,2,0,0,50,1100.0
Alugo Excelente apartamento de 03 quartos no Caravelle,Barro Vermelho,3,1,0,150,1400.0
"Apartamento com 3 dormitórios para alugar, 93 m² por R$ 1.700,00/mês - Capim Macio - Natal",Capim Macio,3,2,0,93,1700.0
Aluga-se,Dix-Sept Rosado,1,1,0,0,470.0
Apartamento com 3 suítes,Ponta Negra,3,3,0,0,3500.0
Aluguel Res Elza Chaves - Neópolis,Neópolis,3,2,0,77,1700.0
Cond. Torre Imperial,Lagoa Nova,4,3,1,260,1800.0
Aluga-se apartamento mobiliado no Duna Barcane - Ponta Negra,Ponta Negra,2,1,0,56,2500.0
ALUGO KITNETES DE RS 570 A RS 780,Ponta Negra,1,1,0,35,570.0
Apartamento Mobiliado - Capim Macio,Capim Macio,2,1,0,56,2450.0
Alugo Flat Mobiliado em Ponta Negra.,Ponta Negra,1,1,0,35,1300.0
Condominio Costa Atlantico - Ponta Negra,Ponta Negra,1,1,0,50,1100.0
S0107 - Apartamento com 2/4 para Alugar por R$ 1.900/Mês - Ponta Negra,Ponta Negra,2,1,0,119,1900.0
Condomínio Parque das Pedras - 3 Quartos,Candelária,3,1,0,75,750.0
Cód. 7969 - Cond. Marina Praia Sul I,Capim Macio,3,1,550,75,750.0
Cond. Morada dos Colibris,Capim Macio,3,1,0,75,1700.0
"Apartamento 3 quartos,1 vaga ,92 m², bairro redinha, condomínio Riverside",Redinha,3,1,0,92,1100.0
Cond. Tereza Campos,Lagoa Nova,3,3,1,156,3200.0
"AP 3 quartos em Mirassol próximo a UFRN (agua, iptu, condomínio e internet inclusos)",Capim Macio,3,0,0,70,1300.0
"Alugo Ótimo Apartamento no Condomínio Residencial Lilac, Lagoa Nova, Natal, RN",Dix-Sept Rosado,1,4,0,160,4150.0
Cód. 11277 Cond. Abalone - Semi-mobiliado,Nova Descoberta,2,1,551,56,700.0
Kitnet com 3 cômodos mobiliado em Mirassol (próximo ao campus da UFRN),Capim Macio,1,0,0,35,650.0
Excelente Apt. em Lagoa nova 3/4,Lagoa Nova,3,2,860,100,2500.0
Residencial Áurea Guedes - Apartamento de 3 Quartos em Ponta Negra,Ponta Negra,3,2,0,67,358999.0
Suítes Mobiliada,Ponta Negra,1,1,0,0,700.0
"S0479 - Apartamento com 2 Quartos para Alugar, 48 m² por R$ 1.800/Mês",Tirol,2,0,0,48,1800.0
Apartamento no Sun Towers - 55 m2,Pitimbu,2,2,0,55,1400.0
HC - APTO LAGOA NOVA 3/4 + DEP,Lagoa Nova,3,0,0,110,2900.0
Excelente apto 3/4 sendo 1 suítes em Capim Macio no Edifício Maria Bernadete,Capim Macio,3,2,0,78,2500.0
"Apartamento com 2 dormitórios para alugar, 53 m² por R$ 1.500,00/mês - Ponta Negra - Natal",Ponta Negra,2,1,0,53,1500.0
"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821181",Dix-Sept Rosado,2,1,440,61,1005.0
Apartamento de luxo com 2 quartos em PONTA NEGRA ZAP. 84. *,Ponta Negra,2,1,0,70,200.0
Quitinetes oferta,Lagoa Nova,1,2,0,0,480.0
Alugo Kitnet em Candelária,Candelária,1,1,0,0,
Alugo Apartamento,Cidade Alta,2,1,0,0,800.0
Alugo Apt 3 Q mobiliado lagoa nova,Lagoa Nova,3,1,350,110,1150.0
Ahaed Capim Macio . Locação imperdível,Capim Macio,2,2,0,0,2499.0
"Aludo apartamento com 3 quartos em Capim Macio, Remax Gama",Capim Macio,3,2,0,75,1600.0
Apartamento 4 dormitórios sendo 3 suíte com 198 m² para locação em Lagoa Nova,Nova Descoberta,4,3,0,20,3700.0
Apto 2/4 Mobiliado em Ponta Negra - Excelente Oportunidade ,Ponta Negra,2,1,0,0,2200.0
Apartamento 2 quartos -Dix Sept Rosadol - Natal/RN,Dix-Sept Rosado,2,1,0,85,1000.0
Alugo apartamentos em prédio localizado próximo à praia de Ponta Negra,Ponta Negra,2,1,0,53,778.0
Duna Barcane mobiliado e vista mar!,Ponta Negra,2,1,0,56,2500.0
Apartamento de 3/4: excelente opprtunidade!!,Cidade Alta,3,2,560,98,2500.0
Locação 3/4 em Ponta Negra,Ponta Negra,3,2,0,96,2000.0
Aluguel Apartamento Mobiliado Ponta Negra Natal RN,Ponta Negra,1,1,0,36,1000.0
Aluguel - Apartamento em Ponta Negra - 2/4 Suíte - 55m² - Blue Ocean - 30º Andar,Ponta Negra,2,0,0,55,2400.0
Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,Capim Macio,3,0,0,70,1501.0
Apartamento 1/4 C/Garagem em Ponta Negra,Ponta Negra,1,1,0,0,520.0
PROCURA-SE CASA/APTO PARA ALUGAR,Pajuçara,2,1,0,0,300.0
Kitnet aluguel,Lagoa Nova,1,0,0,10,700.0
LM-1358 - Apartamento bem localizado - Ponta Negra,Ponta Negra,2,0,0,60,2700.0
Residencial planalto gardens,Planalto,2,1,0,54,800.0
LM-AP2199 - Apartamento Amplamente Sofisticado em Jardins do Alto,Tirol,2,1,0,70,3000.0
"Alugo apartamento tipo flat, em capim macio, com dois ambientes ",Capim Macio,1,0,0,35,800.0
AR Alugo apartamento residencial Jiqui,Neópolis,2,1,200,48,760.0
Apt 3 quartos Capim macio,Capim Macio,3,1,0,83,1300.0
"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:EI23028",Lagoa Nova,3,3,370,100,1000.0
Apartamento com 4 quartos para locação em Tirol,Barro Vermelho,4,2,1,200,3100.0
LM2150-Luxuoso Condomínio Palazzo Ponta Negra,Capim Macio,3,3,0,160,5001.0
 aluguel Apartamento próximo ao shopping mydway,Lagoa Nova,1,1,300,40,630.0
Casa 1 quarto cond. Zona norte,Redinha,1,1,0,0,400.0
Vendo ou alugo! Apt. no NASHVILLE Lagoa nova Natal,Lagoa Nova,1,1,270,40,1490.0
Excelente apartamento em Tirol com 2 quartos ,Tirol,2,1,0,57,1950.0
Alugo kit Net No Bom Pastor,Bom Pastor,1,1,0,0,380.0
Flat Mobiliado Aluguel - Lagoa Nova,Lagoa Nova,1,1,0,30,1400.0
Excelente apartamento em Tirol,Tirol,3,2,0,130,5500.0
"Flat mobiliado em Ponta Negra, em excelente localização na Roberto Freire",Ponta Negra,1,1,0,37,1500.0
Ocean View II!,Areia Preta,1,1,0,56,1700.0
Apartamento de 2 quartos com suíte e móveis planejados no planalto,Planalto,2,0,0,55,750.0
Aluga-se FLAT,Ponta Negra,1,1,0,0,950.0
Estrela do Atlântico (Andar alto),Ponta Negra,2,1,0,59,1850.0
Serrambi 3,Neópolis,2,1,0,0,800.0
Apartamento,Ponta Negra,2,1,460,57,1900.0
Apto 5° andar em tirol/ e pra de cotovelo  mobiliado.,Tirol,3,0,0,0,2000.0
Apartamento para locação em capim macio próximo do praia shopping ,Capim Macio,3,2,650,80,700.0
"Apartamento para alugar com 2 dormitórios em Cidade da esperança, Natal cod:10927",Cidade da Esperança,2,1,498,53,700.0
"Aluga-se apartamento em Capim-macio, 2 dormitórios",Capim Macio,2,1,0,0,950.0
"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.100/mês - Candelária - Natal/RN",Candelária,2,1,350,56,1100.0
"Apartamento com 2 dormitórios para alugar, 57 m² por R$ 1.400,00 - Neópolis - Natal/RN",Neópolis,2,2,0,57,1400.0
"Apartamento para Locação em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 3 banheiros, 2 vag",Ponta Negra,2,2,0,110,2800.0
"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3537",Alecrim,1,0,60,35,480.0
"Apartamento para alugar com 3 dormitórios em Neópolis, Natal cod:AP1634",Neópolis,3,0,0,97,1450.0
Apartamento em Ponta Negra ,Ponta Negra,1,1,0,45,2000.0
"Apartamento para Locação em Natal, Ponta Negra, 3 dormitórios, 1 suíte, 3 banheiros, 2 vag",Ponta Negra,3,2,0,110,3500.0
VR-Locação Flat Mobiliado 78m² a 200m da Praia de Ponta Negra,Ponta Negra,1,1,0,78,2000.0
"VR-Flat Com ou Sem Mobília Próximo ao Praia Shopping Entrada em Novembro, Reserve o Seu",Capim Macio,1,1,0,30,1100.0
Residencial Estrela do Atlântico (Mobiliado),Ponta Negra,2,1,0,0,2000.0
"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:AA-7201",Barro Vermelho,1,1,0,0,700.0
"AP 2 quartos na AV Romualdo Galvão, Plano 100 (Villagio di Roma)",Lagoa Nova,2,1,0,70,1500.0
Alugo primeiro andar,Potengi,2,0,0,0,500.0
"Locação Apart. condominio Veritá (2º andar, 2/4, R$ 750 reais) - Cidade Satélite",Pitimbu,2,1,0,50,750.0
Condomínio Green Tower alugar,Lagoa Nova,3,1,550,102,1200.0
Apartamento 2/4 - Condomínio Sun Towers,Pitimbu,2,1,400,56,1200.0
Apartamento com 2 quartos no Residencial Nizário Gurgel,Petrópolis,2,1,0,52,1400.0
"Locação no Jardim Satélite 2/4 R$ 700,00 - Cidade satélite",Pitimbu,2,1,290,56,700.0
Duna Barcane mobíliado (2 vagas de garagem),Ponta Negra,2,2,0,56,295000.0
Alugo apartamento no Estrela do Atlântico mobiliado 12° andar,Ponta Negra,2,1,0,59,2400.0
Kitnet com garagem coberta zona norte,Redinha,1,1,0,0,400.0
Apt em lagoa nova,Lagoa Nova,2,1,0,62,1500.0
Apartamento mobiliado em Ponta Negra ,Ponta Negra,2,1,530,54,1600.0
Estrela do Atlântico - Andar Alto - aceita financiamento,Ponta Negra,2,1,0,59,329999.0
Kitnet (Lagoa Nova),Lagoa Nova,1,0,0,0,600.0
"Apto mobilhado de 2 quartos para alugar, Bairro de Candelária em Natal RN",Candelária,2,1,0,56,1800.0
"Apto 3/4 próximo ao Midway, IFRN e Unp, taxas inclusas",Lagoa Nova,3,1,0,0,1800.0
Traga hoje mesmo sua mobília More em Ponta Negra,Ponta Negra,1,1,0,57,1700.0
"Condomínio Giorgio - Apto 3/4 com suite de 115 m², dependência por 1.500, Tirol, Natal",Tirol,3,1,250,115,1500.0
Alugo Cobertura no Vita Residencial Clube,Pitimbu,4,3,0,176,3900.0
"Alugo apartamento no condomínio serrambi 1, 2/4 suite R$ 730",Neópolis,2,1,0,58,730.0
"Apartamento para Locação em Natal, Capim Macio, 2 dormitórios, 1 banheiro, 1 vaga",Capim Macio,2,1,0,55,1200.0
Aluguel - Apartamento em Ponta Negra - 2/4 Suíte - 55m² - Blue Ocean - 30º Andar,Ponta Negra,2,0,0,55,2401.0
"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:4170",Alecrim,1,0,70,30,480.0
"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:6846",Lagoa Nova,3,1,580,107,850.0
"Apartamento para alugar com 2 dormitórios em Petrópolis, Natal cod:2824",Petrópolis,2,1,610,56,900.0
"Alugo Kitnet em Felipe Camarão 1/4 360,00 Não paga água",Felipe Camarão,1,1,0,0,360.0
"Apartamento em Ponta Negra, 3 Quartos. Condominio Corais de ponta negra",Ponta Negra,3,2,0,100,2200.0
"Apt 3/4 Lagoa Nova R$ 900,00",Lagoa Nova,3,0,500,68,900.0
Apartamento para locação jardins do alto aluguel duplex em tirol,Tirol,2,1,0,64,2800.0
"Apartamento com 3 dormitórios para alugar, 100 m² por R$ 1.500,00/mês - Petrópolis - Natal",Petrópolis,3,1,650,100,1500.0
Kit net Cidade Alta,Cidade Alta,1,0,0,19,370.0
Green Hill!,Tirol,2,1,0,56,1500.0
Apartamento super ventilado e com vista Livre,Lagoa Nova,3,3,0,111,3500.0
"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821178",Dix-Sept Rosado,2,1,440,61,1006.0
Ótimo Apto 2/4 Em Candelária - Andar Alto ,Barro Vermelho,2,1,0,55,1550.0
AP0400 Apartamento Residencial / Lagoa Nova,Lagoa Nova,4,3,0,130,3999.0
Apartamento 3 Quartos em Lagoa Nova,Lagoa Nova,3,2,0,65,1000.0
